timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1567531806766,475,loged706 /qa/content,200,OK,Thread Group 1-1,text,true,,1349,798,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=1&page=1&order=recent&type=magazine,475,0,0
1567531807242,459,especialistas738 /qa/author/getspecialistscard?qty=100,200,OK,Thread Group 1-1,text,true,,743,504,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/author/getspecialistscard?qty=100,459,0,0
1567531807701,699,especialistas751 /qa/author/getspecialistscard,200,OK,Thread Group 1-1,text,true,,9391,792,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/author/getspecialistscard?qty=100,699,0,225
1567531808400,413,perfil765 /editarPerfil,304,Not Modified,Thread Group 1-1,text,true,,652,460,1,1,https://qa.noomis.febraban.org.br/editarPerfil,0,0,177
1567531808814,198,perfil766 /qa/tag,200,OK,Thread Group 1-1,text,true,,743,447,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/tag,198,0,0
1567531809012,209,perfil768 /o/oauth2/iframe,200,OK,Thread Group 1-1,text,true,,1008,467,1,1,https://accounts.google.com/o/oauth2/iframe,208,0,97
1567531809221,461,perfil770 /qa/tag,200,OK,Thread Group 1-1,text,true,,1199,735,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/tag,461,0,0
1567531809683,213,em alta779 /qa/theme,200,OK,Thread Group 1-1,text,true,,1745,386,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/theme,213,0,0
1567531809897,736,em alta775 /qa/author/getall,200,OK,Thread Group 1-1,text,true,,12961,394,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/author/getall,736,0,220
1567531810634,467,em alta776 /qa/origin/getall,200,OK,Thread Group 1-1,text,true,,4302,394,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/origin/getall,467,0,0
1567531811102,256,em alta778 /qa/magazine/filters,200,OK,Thread Group 1-1,text,true,,1719,397,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/magazine/filters,256,0,0
1567531811358,215,em alta780 /qa/content?size=10&page=1&order=trend&type=recent,200,OK,Thread Group 1-1,text,true,,743,484,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=10&page=1&order=trend&type=recent,215,0,0
1567531811574,257,em alta777 /qa/category/getall,200,OK,Thread Group 1-1,text,true,,2406,396,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/category/getall,257,0,0
1567531811832,912,em alta783 /qa/content,200,OK,Thread Group 1-1,text,true,,63010,772,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=10&page=1&order=trend&type=recent,839,0,0
1567531812745,393,em alta785 /qa/theme,200,OK,Thread Group 1-1,text,true,,1745,386,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/theme,393,0,194
1567531813139,209,video796 /qa/category/getall,200,OK,Thread Group 1-1,text,true,,2406,396,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/category/getall,209,0,0
1567531813349,276,video799 /qa/content?size=10&page=1&order=recent&type=video,200,OK,Thread Group 1-1,text,true,,743,484,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/content?size=10&page=1&order=recent&type=video,276,0,0
1567531813626,237,video797 /qa/magazine/filters,200,OK,Thread Group 1-1,text,true,,1719,397,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/magazine/filters,237,0,0
1567531813865,234,video794 /qa/author/getall,200,OK,Thread Group 1-1,text,true,,12961,394,1,1,https://pc-ap1-qa.noomis.febraban.org.br/qa/author/getall,234,0,0
